,Unnamed: 0,property_type,society,sector,price,Area,price_per_sqft,areaWithType,bedRoom,bathroom,balcony,additionalRoom,floorNum,facing,agePossession,nearbyLocations,furnishDetails,features,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,features_list,luxury_score
791,791,flat,paras quartier,gwal pahari,5.9,5350.0,11028.0,Super Built up area 5350(497.03 sq.m.),4,4,3+,"pooja room,study room,servant room,store room",19.0,East,New Property,"['Sector 55-56 Metro Station', 'Ambience Mall', 'Golf Course Road', 'Gurgaon Faridabad Highway', 'Pathways School', 'CK Birla Hospital', 'Indira Gandhi International Airport', 'V Resorts Farm Stay Delhi', 'SkyJumper Trampoline Park', 'Teri Golf Course', 'National Institute of Solar Energy']","['4 Fan', '1 Exhaust Fan', '10 Light', '5 AC', '1 Chimney', '1 Modular Kitchen', 'No Bed', 'No Curtains', 'No Dining Table', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Centrally Air Conditioned', 'Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Piped-gas', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",5350.0,,,1,1,1,1,0,2,"['Centrally Air Conditioned', 'Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Piped-gas', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",160
798,798,house,independent,sector 25,11.0,3096.0,35530.0,Plot area 344(287.63 sq.m.),5,5,3+,"pooja room,study room,servant room,store room",2.0,,Relatively New,"['Vodafone belvedere towers metro station', 'Dlf phase 2 metro station', 'Dlf phase 3 metro station', 'Indusind bank cyber city metro station', 'Sikandarpur metro station', 'Shri Shiv Shakthi Mandir', 'Jain Bhawan', 'Arya Samaj Mandir', 'Central bank atm teste 001112', 'Central bank ATM', 'Kotak mahindra ATM', 'Citibank ATM', 'Abn amro bank ATM', 'Axis bank ATM', 'Surgi Center Clinic', 'Kailash Nursing Home Gurgaon', 'RBS Dental Clinic', 'Cosmodentz Dental Clinic', 'Uma Sanjeevani Health Centre And Hospital', 'Relief Physiotherapy Clinic', 'Darpan Skin & Mind Clinic', 'Durga Poly Clinic', 'Krishna Family Clinic', 'Guardian', '98.4', 'Religare Wellness', 'Shri Balaji Medical Store', 'DLF Cyber City Phase II', 'Emaar Business Park', 'Standard chartered bank', 'Icici bank', 'Deutsche bank', 'Hsbc bank', 'Kotak mahindra bank', 'Axis bank', 'PVR Cinames', 'Mukesh Dhaba', 'Mc Donalds', ""McDonald's"", 'Food Court', 'The God Father', 'Cantine', 'barrique', 'American Montessori']","['9 Fan', '9 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Park', 'Visitor Parking']",,344.0,,1,1,1,1,0,0,"['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Park', 'Visitor Parking']",29
801,801,house,independent,sector 56,11.95,2745.0,43534.0,Plot area 305(255.02 sq.m.),12,12,3+,servant room,4.0,West,Relatively New,"['Sector metro station', 'Sector metro station', 'Sector 54 chowk metro station', 'Sanatan Dharm Mandir', 'Radhakrishna Shani Mandir', 'State bank ATM', 'Icici bank ATM', 'Icici bank ATM', 'Citi bank ATM', 'Indusind bank ATM', 'Surgicare Hospital Gurgaon', 'Kriti Hospital', 'Anand Hospital Gurgaon', 'pracksht hospital', 'Arunodaya Deseret Eye Hospital', 'HUDA Office Complex', 'Medisca', 'Apollo Pharmacy', 'Intellion Park', 'International Tech Park', 'Heera Fuel Station', 'HCG CNG Station', 'Hdfc bank and atm', 'State bank of india', 'Kotak mahindra bank', 'Indusind bank', 'Axis bank', 'Icici bank', 'Hdfc bank', 'Hdfc bank & atm', 'Hdfc bank', '222', 'Pizza Hut', 'Wat-a-Burger', 'Burger Singh', 'Bikanerwala', 'Naivedyam Restaurant', 'Clock tower', 'Starbucks', ""Carl's Jr."", 'Cafe Tonini', 'Sagar Ratna', 'IILM', 'Iilm University', 'Sushant College of Arts & Architecture', 'Ansal Institute of Technology', 'Suncity School']","['12 Wardrobe', '25 Fan', '1 Exhaust Fan', '16 Geyser', '26 Light', '16 AC', '1 Modular Kitchen', '4 Chimney', 'No Bed', 'No Curtains', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Water Storage', 'Visitor Parking', 'Waste Disposal', 'Rain Water Harvesting']",,305.0,,0,1,0,0,0,2,"['Water Storage', 'Visitor Parking', 'Waste Disposal', 'Rain Water Harvesting']",21
808,808,house,emaar mgf marbella,sector 66,19.0,6000.0,31666.0,Plot area 9000(836.13 sq.m.)Carpet area: 6000 sq.ft. (557.42 sq.m.),5,6,3+,"pooja room,servant room,store room",3.0,North-East,Relatively New,"['Sector 55-56 Rapid Metro Station', 'HUB 66', 'NH 48', 'Hasanpur', 'Gurugram University', 'Delhi Public School', 'Park Hospital', 'Indira Gandhi International Airport', 'Sealdah', 'Vatika Business Centre', 'The Oberoi', 'De Adventure Park', 'DLF Golf and Country Club', 'Tau DeviLal Sports Complex']","['6 Wardrobe', '9 Fan', '1 Exhaust Fan', '7 Geyser', '26 Light', '10 AC', '1 Modular Kitchen', '1 Chimney', '1 Curtains', 'No Bed', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Internet/wi-fi connectivity', 'Low Density Society', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']",,,6000.0,0,1,1,1,0,2,"['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Internet/wi-fi connectivity', 'Low Density Society', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']",110
818,818,house,unitech deerwood chase,sector 50,15.0,4500.0,33333.0,Plot area 500(418.06 sq.m.),4,4,2,servant room,2.0,West,Moderately old,"['Sector 55-56 Metro Station', 'Raheja Mall', 'Basant Valley Global School', 'Park Hospital']","['6 Fan', '7 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Fitness Centre / GYM', 'Club house / Community Center']",,500.0,,0,1,0,0,0,0,"['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Fitness Centre / GYM', 'Club house / Community Center']",160
822,822,house,vipul tatvam villa,sector 48,7.65,4000.0,19125.0,Built Up area: 4000 (371.61 sq.m.),4,4,3,"study room,others,servant room",2.0,North-East,Moderately old,"['Athena', 'Star Mall', 'The Sixth Element School', 'K.R.Mangalam World School', 'Medhaam Pre School & Daycare', 'Peer Baba Ki Mazar', 'HDFC Bank', 'Punjab National Bank', 'Axis Bank', 'Sushil Park', 'CoNexus.Life B35', 'World Tech Park', 'Marriott Courtyard', 'Moksh Wellness Pvt Ltd.', 'Bharat Petroleum Petrol Pump']",,"['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Waste Disposal', 'Rain Water Harvesting']",,4000.0,,1,1,0,0,1,0,"['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Waste Disposal', 'Rain Water Harvesting']",49
829,829,house,independent,sector 26,8.1,2295.0,35294.0,Plot area 255(213.21 sq.m.),5,5,2,not available,4.0,East,Old Property,"['Dlf phase 1 metro station', 'Sikandarpur rmrg metro station', 'Guru dronacharya metro station', 'Sikanderpur metro station', 'Sikandarpur metro station', 'Dlf phase 2 metro station', 'Hanuman Mandir', 'Icici bank ATM', 'Axis bank ATM', 'Rbs ATM', 'Sikka Maternity And Surgical Center', 'Divine Look Clinic Centre 1', 'Marwah Clinic', 'The Dental Lounge', 'Anahat Hospital', 'Durga Poly Clinic', 'Krishna Family Clinic', ""St Stephen's Hospital Health Care Facility"", 'Lord Krishna Hospital', 'Surgi Center Clinic', 'Uma Sanjeevani Health Centre And Hospital', 'Upkar Clinic', 'Sidhesh Hospital Gurgaon', 'Cosmodentz Dental Clinic', 'Kailash Nursing Home Gurgaon', 'Sitaram Bhartia', 'Religare Wellness', '98.4', 'Guardian', 'Chikitsa', 'Guardian Pharmacy', 'Emaar Business Park', 'Axis bank', 'Hsbc bank', 'Kotak mahindra bank', 'Hdfc bank', 'Lord krishna bank', 'Indusind bank', 'Abn amro bank', 'PVR Cinames', 'Food Court', 'Nowhere Brewpub and cafe', 'Fat', 'Dighent cafe', 'NutrioBox Gurugram', 'Blue Tokai Coffee Roasters']",,"['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Waste Disposal']",,255.0,,0,0,0,0,0,0,"['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Waste Disposal']",42
847,847,house,emaar mgf marbella,sector 66,9.01,5608.0,16066.0,Plot area 521,4,4,3+,"servant room,store room",3.0,North-East,Relatively New,"['Sector 55-56 Rapid Metro Station', 'HUB 66', 'NH 48', 'Hasanpur', 'Gurugram University', 'Delhi Public School', 'Park Hospital', 'Indira Gandhi International Airport', 'Sealdah', 'Vatika Business Centre', 'The Oberoi', 'De Adventure Park', 'DLF Golf and Country Club', 'Tau DeviLal Sports Complex']",,"['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Centrally Air Conditioned', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'Separate entry for servant room', 'Bank Attached Property', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Natural Light', 'Airy Rooms', 'Low Density Society', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']",,521.0,,0,1,1,0,0,0,"['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Centrally Air Conditioned', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'Separate entry for servant room', 'Bank Attached Property', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Natural Light', 'Airy Rooms', 'Low Density Society', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']",122
862,862,house,independent,sector 26,18.25,10000.0,18250.0,Plot area 550(51.1 sq.m.)Carpet area: 10000 sq.ft. (929.03 sq.m.),7,9,3+,"pooja room,study room,servant room,store room",4.0,East,Relatively New,"['Guru dronacharya metro station', 'Dlf phase 1 metro station', 'Sikandarpur rmrg metro station', 'Sikanderpur metro station', 'Sikandarpur metro station', 'Dlf phase 2 metro station', 'Hanuman Mandir', 'Icici bank ATM', 'Axis bank ATM', 'Central bank ATM', 'Central bank atm teste 001112', 'Sikka Maternity And Surgical Center', 'Anahat Hospital', 'Divine Look Clinic Centre 1', 'The Dental Lounge', ""St Stephen's Hospital Health Care Facility"", 'Marwah Clinic', 'Durga Poly Clinic', 'Krishna Family Clinic', 'Upkar Clinic', 'Surgi Center Clinic', 'Lord Krishna Hospital', 'Uma Sanjeevani Health Centre And Hospital', 'Cosmodentz Dental Clinic', 'Kailash Nursing Home Gurgaon', ""Dr. Khullar's Dental Clinic"", 'Relief Physiotherapy Clinic', 'RBS Dental Clinic', 'Sidhesh Hospital Gurgaon', 'Shri Ram Memorial Hospital', 'R.N Clinic', 'Dental Cure and Care Centre', 'Religare Wellness', '98.4', 'Guardian', 'Emaar Business Park', 'Axis bank', 'Hsbc bank', 'Kotak mahindra bank', 'Hdfc bank', 'Lord krishna bank', 'Indusind bank', 'Abn amro bank', 'PVR Cinames', 'Food Court', 'Nowhere Brewpub and cafe']","['1 Wardrobe', '1 Fan', '1 Exhaust Fan', '1 Geyser', '1 Stove', '1 Light', '1 AC', '1 Modular Kitchen', '1 Chimney', 'No Bed', 'No Curtains', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Water purifier', 'High Ceiling Height', 'Swimming Pool', 'Separate entry for servant room', 'Park', 'Visitor Parking', 'Natural Light', 'Spacious Interiors']",,,10000.0,1,1,1,1,0,2,"['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Water purifier', 'High Ceiling Height', 'Swimming Pool', 'Separate entry for servant room', 'Park', 'Visitor Parking', 'Natural Light', 'Spacious Interiors']",77
871,871,flat,mahindra luminare,sector 59,5.8,3025.0,19173.0,Carpet area: 3025 (281.03 sq.m.),3,4,3,servant room,16.0,North-East,New Property,"['Sector 55-56 Metro Station', 'Metro World Mall', 'Faridabad Gurgaon Road', 'Sohna Road', 'Unicosmos School', 'Sushant University', 'W Pratiksha Hospital', 'Indira Gandhi International Airport', 'Axis Bank', 'Bestech Business Tower', 'Grand Hyatt Gurgaon', 'Appu Ghar', 'Duke Horse Riding Club', 'PVR Drive In Cinema', 'SkyJumper Trampoline Park']","['3 Wardrobe', '4 Fan', '1 Exhaust Fan', '4 Geyser', '3 Light', '1 Modular Kitchen', '1 Chimney', '3 AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']",,,3025.0,0,1,0,0,0,2,"['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']",49
873,873,flat,krrish provence estate,gwal pahari,5.5,5800.0,9482.0,Super Built up area 5800(538.84 sq.m.),4,5,3+,"pooja room,study room,servant room",11.0,East,New Property,"['Tniy Toons School', 'Pathways School Gurgoan', ""Mother's Love English School"", 'SDMC Primary School', 'SBI ATM', 'HDFC Bank ATM', 'Axis bank ATM', 'Citibank ATM', 'ICICI bank ATM', 'Janki Max Hospital', ""Buddy's Point"", 'Unique Dhaba', 'The brown Saheb', 'French Heart Bakery', 'Lassi cafe Restaurant']",,"['Water purifier', 'Security / Fire Alarm', 'Power Back-up', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Piped-gas', 'Internet/wi-fi connectivity', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",5800.0,,,1,1,0,1,0,0,"['Water purifier', 'Security / Fire Alarm', 'Power Back-up', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Piped-gas', 'Internet/wi-fi connectivity', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",151
876,876,house,independent,sector 28,11.75,2844.0,41315.0,Plot area 316(264.22 sq.m.),4,5,3+,"study room,servant room,store room",4.0,East,Relatively New,"['Dlf phase 1 metro station', 'Huda city centre metro station', 'Iffco chowk metro station', 'New Life Church', 'Hanuman Mandir', 'Kotak mahindra bank ATM', 'Standard chartered ATM', 'Rbs ATM', 'Sitaram Bhartia', 'Max Hospital', 'Dr. Kutbuddin Akbary', 'Sidhesh Hospital Gurgaon', 'Umkal Hospital', 'Marwah Clinic', 'Lord Krishna Hospital', 'Dr. Naval Mendiratta', 'Fortis Memorial Research Institute Fortis Vivekanand Hospital', 'Gupta', 'Divine Look Clinic Centre 1', 'Chikitsa', 'Guardian Pharmacy', 'Axis bank', 'Icici bank', 'Hdfc bank', 'Indusind bank', 'Abn amro bank', 'Lord krishna bank', 'Hdfc bank', 'DT Cinemas', 'Blue Tokai Coffee Roasters', 'Starbucks', 'Fat', 'Nowhere Brewpub and cafe', 'Dighent cafe', 'Drunken Monkey', 'Belgian Waffle', 'CCD', 'The Chicken Boat', 'Naveidyam', 'Balaji Vegetarian Paradise', 'Pizza Hut', 'Barbecue Grill', 'PWO house', 'Food Court', 'Stones2milestones', 'Bahrisons library', 'Ncr library']","['4 Wardrobe', '9 Fan', '1 Exhaust Fan', '5 Geyser', '1 Stove', '69 Light', '7 AC', '1 Modular Kitchen', '1 Chimney', 'No Bed', 'No Curtains', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'High Ceiling Height', 'Park', 'Visitor Parking', 'Natural Light', 'Spacious Interiors']",,316.0,,1,1,1,0,0,2,"['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'High Ceiling Height', 'Park', 'Visitor Parking', 'Natural Light', 'Spacious Interiors']",54
895,895,house,international city by sobha phase 1,sector 109,5.7,5400.0,10556.0,Plot area 600(501.68 sq.m.),4,4,3+,"study room,servant room",4.0,East,Relatively New,"['Dwarka sector 21 metro station', 'Pacific D21 Mall', 'Dharampeth Main Road', 'Dwarka Expressway', 'The Shikshiyan School', 'The NorthCap University', ""Rion's Hospital"", 'Indira Gandhi International Airport', 'Gurgaon railway station', 'The Executive Centre', 'Luxus Haritma Resort', ""Oyster's Water Park"", 'BSF Golf Course']","['6 Fan', '6 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Private Garden / Terrace', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'Bank Attached Property', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Low Density Society', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']",,600.0,,1,1,0,0,0,0,"['Private Garden / Terrace', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'Bank Attached Property', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Low Density Society', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']",98
